Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
France;LFPN;NO;Toussus le Noble Arpt;48,752;2,114;499;METAR, TAF;;;;;;;;;
France;LFPO;ID;Paris/Orly Fld;48,717;2,384;289;METAR, TAF;;;;;;;;;
France;LFPT;ID;Pontoise-Cormeilles;49,097;2,041;299;;;;;;;;;;
France;LFPV;ID;Villacoublay(AB);48,77;2,205;561;METAR, TAF;;;;;;;;;
France;LFPW;;Paris Met Cente;48,83;2,33;246;;;;;;;;;;
France;LFPY;;Bretigny Sur Or;48,6;2,33;269;;;;;;;;;;
France;LFQA;GE;Reims/Prunay Aprt;49,21;4,155;302;;;;;;;;;;
France;LFQB;GE;Troyes/Barberey Arpt;48,325;4,02;351;METAR, TAF;;;;;;;;;
France;LFQG;BF;Nevers/Fourchambault;46,998;3,113;564;;;;;;;;;;
France;LFQH;BF;Chatillon-Sur-Seine;47,849;4,58;869;;;;;;;;;;
France;LFQI;HD;Cambrai/Épinoy(AB);50,218;3,153;249;METAR, TAF;;;;;;;;;
France;LFQQ;HD;Lille/Lesquin Arpt;50,562;3,089;141;METAR, TAF;;;;;;;;;
France;LFQV;GE;Charleville/Meziere;49,783;4,643;479;;;;;;;;;;
France;LFRA;PD;Angers/Avrille(AUT);47,479;-0,614;157;;;;;;;;;;
France;LFRB;BR;Brest/Guipavas Arpt;48,444;-4,412;299;METAR, TAF;;;;;;;;;
France;LFRC;NO;Cherbourg/Manche Arpt;49,65;-1,47;449;METAR, TAF;;;;;;;;;
France;LFRD;BR;Dinard/Pleurtuit Arpt;48,589;-2,075;184;METAR, TAF;;;;;;;;;
France;LFRG;NO;Deauville/Saint Gati;49,365;0,154;479;METAR, TAF;;;;;;;;;
France;LFRH;BR;Lorient/Bihoue Arpt;47,761;-3,44;151;METAR, TAF;;;;;;;;;
France;LFRI;PD;La Roche/Les Ajoncs;46,702;-1,379;292;METAR, TAF;;;;;;;;;
France;LFRJ;BR;Landivisiau(AB);48,527;-4,138;358;METAR, TAF;;;;;;;;;
France;LFRK;NO;Caen/Carpiquet Arpt;49,18;-0,456;217;METAR, TAF;;;;;;;;;
France;LFRL;BR;Lanveoc/Poulmic Arpt;48,279;-4,439;262;METAR, TAF;;;;;;;;;
France;LFRM;PD;Le Mans/Arnage Arpt;47,949;0,202;167;METAR, TAF;;;;;;;;;
France;LFRN;BR;Rennes/St Jacques Arpt;48,069;-1,734;115;METAR, TAF;;;;;;;;;
France;LFRO;BR;Lannion/Servel Arpt;48,755;-3,469;282;METAR, TAF;;;;;;;;;
France;LFRQ;BR;Quimper/Pluguffan Arpt;47,975;-4,168;308;METAR, TAF;;;;;;;;;
France;LFRS;PD;Nantes/Atlantique Arpt;47,15;-1,609;85;METAR, TAF;;;;;;;;;
France;LFRT;BR;Saint Brieuc/Armor Arpt;48,536;-2,853;440;METAR, TAF;;;;;;;;;
France;LFRU;BR;Morlaix/Ploujean Arpt;48,601;-3,814;279;;;;;;;;;;
France;LFRV;BR;Vannes/Meucon Arpt;47,722;-2,727;433;;;;;;;;;;
France;LFRZ;PD;St Nazaire/Montoir Arpt;47,312;-2,163;7;METAR, TAF;;;;;;;;;
France;LFSA;BF;Besancon/Thise(AUT);47,249;5,989;1004;;;;;;;;;;
France;LFSB;GE;Basel/Euro Arpt;47,614;7,51;860;METAR, TAF;;;;;;;;;
France;LFSC;GE;Colmar/Meyenhei;47,922;7,4;659;METAR, TAF;;;;;;;;;
France;LFSD;BF;Dijon-Bourgogne Arpt;47,269;5,09;715;METAR, TAF;;;;;;;;;
France;LFSF;GE;Metz/Frescaty Arpt(A;49,073;6,126;627;METAR, TAF;;;;;;;;;
France;LFSG;GE;Épinal/Mirecourt Arpt;48,325;6,07;1050;;;;;;;;;;
France;LFSI;GE;St Dizier(AB);48,631;4,904;446;METAR, TAF;;;;;;;;;
France;LFSL;GE;Brive/Souillac Arpt;45,04;1,486;984;METAR, TAF;;;;;;;;;
France;LFSM;BF;Montbéliard/Courcell;47,487;6,791;1040;;;;;;;;;;
France;LFSN;GE;Nancy/Essey Arpt;48,692;6,231;702;METAR, TAF;;;;;;;;;
France;LFSO;GE;Nancy/Ochey(AFB);48,583;5,955;1076;METAR, TAF;;;;;;;;;
France;LFSQ;BF;Belfort/Fontaine;47,63;6,87;1388;;;;;;;;;;
France;LFSR;GE;Reims Arpt;49,306;4,051;299;METAR, TAF;;;;;;;;;
France;LFST;PD;Strasbourg/Entzheim Arpt;48,549;7,64;489;METAR, TAF;;;;;;;;;
France;LFSX;HD;Luxeuil Arpt(AB);47,783;6,364;873;METAR, TAF;;;;;;;;;
France;LFTH;PA;Toulon/Hyères Arpt;43,094;6,146;10;METAR, TAF;;;;;;;;;
France;LFTU;PA;St-Raphael;43,417;6,736;20;;;;;;;;;;
France;LFTW;OC;Nimes/Garons Arpt;43,757;4,416;299;METAR, TAF;;;;;;;;;
France;LFVP;ML;St Pierre Arpt;46,764;-56,169;16;METAR, TAF;;;;;;;;;
France;LFXA;AR;Ambérieu-en-Bugey(AF);45,979;5,331;817;;;;;;;;;;
France;LFXI;PA;Saint Christol Arpt;44,058;5,495;2733;;;;;;;;;;
France;LFYR;CV;Romorantin Arpt;47,32;1,688;272;METAR, TAF;;;;;;;;;
Germany;EDAC;ID;Altenburg Arpt;50,982;12,506;633;METAR, TAF;;;;;;;;;
Germany;EDAH;MV;Heringsdorf Arpt;53,879;14,152;72;METAR, TAF;;;;;;;;;
Germany;EDBC;ST;Magdeburg/Cochstedt Arpt;51,856;11,42;584;METAR, TAF;;;;;;;;;
Germany;EDBM;ST;Magdeburg/Sachsen-An;52,103;11,583;262;METAR, TAF;;;;;;;;;
Germany;EDDB;BR;Berlin/Brandenburg Intl;52,3807;13,5306;157;METAR, TAF;;;;;;;;;
Germany;EDDC;SN;Dresden Arpt;51,128;13,7543;745;METAR, TAF;;;;;;;;;
Germany;EDDE;TH;Erfurt Arpt;50,983;10,961;1030;METAR, TAF;;;;;;;;;
Germany;EDDF;HE;Frankfurt/Main Arpt;50,045;8,598;371;METAR, TAF;;;;;;;;;
Germany;EDDG;NT;Münster/Osnabrück Arpt;52,135;7,697;151;METAR, TAF;;;;;;;;;
Germany;EDDH;HH;Hamburg Arpt;53,633;9,988;26;METAR, TAF;;;;;;;;;
Germany;EDDI;BE;Berlin/Tempelhof Arpt;52,471;13,4;154;;;;;;;;;;
Germany;EDDK;NT;Koln-Bonn Arpt;50,865;7,157;302;METAR, TAF;;;;;;;;;
Germany;EDDL;NT;Düsseldorf Intl;51,296;6,769;121;METAR, TAF;;;;;;;;;
Germany;EDDM;BY;Munich Intl;48,348;11,813;1460;METAR, TAF;;;;;;;;;
Germany;EDDN;BY;Nurnberg Arpt;49,503;11,055;1024;METAR, TAF;;;;;;;;;
Germany;EDDP;SN;Leipzig/Halle Arpt;51,435;12,24;423;METAR, TAF;;;;;;;;;
Germany;EDDR;SL;Saarbrücken Arpt;49,213;7,108;1040;METAR, TAF;;;;;;;;;
Germany;EDDS;BW;Stuttgart Arpt;48,69;9,222;1227;METAR, TAF;;;;;;;;;
Germany;EDDT;BE;Berlin/Tegel Arpt;52,564;13,309;102;;;;;;;;;;
Germany;EDDV;NI;Hannover Arpt;52,466;9,68;174;METAR, TAF;;;;;;;;;
Germany;EDDW;HB;Bremen Arpt;53,047;8,787;16;METAR, TAF;;;;;;;;;
Germany;EDFE;HE;Egelsbach Arpt;49,961;8,642;371;;;;;;;;;;
Germany;EDFH;RP;Frankfurt/Hahn Arpt;49,946;7,265;1621;METAR, TAF;;;;;;;;;
Germany;EDFM;BW;Mannheim City Arpt;49,474;8,515;308;METAR, TAF;;;;;;;;;
Germany;EDGS;NT;Siegerland Arpt;50,708;8,083;1952;METAR, TAF;;;;;;;;;
Germany;EDHI;HH;Hamburg/FinkenwerderR Arpt;53,536;9,837;16;METAR, TAF;;;;;;;;;
Germany;EDHK;SH;Kiel/Holtenau Arpt;54,376;10,143;79;METAR, TAF;;;;;;;;;
Germany;EDHL;SH;Lübeck Arpt;53,805;10,719;43;METAR, TAF;;;;;;;;;
Germany;EDJA;BY;Memmingerberg Arpt;47,989;10,239;2051;METAR, TAF;;;;;;;;;
Germany;EDLN;NW;Monchengladbach Arpt;51,23;6,504;125;METAR, TAF;;;;;;;;;
Germany;EDLP;NT;Paderborn Arpt;51,614;8,616;692;METAR, TAF;;;;;;;;;
Germany;EDLV;NT;Weeze Arpt;51,602;6,142;89;METAR, TAF;;;;;;;;;
Germany;EDLW;NT;Dortmund Arpt;51,518;7,612;400;METAR, TAF;;;;;;;;;
Germany;EDMA;BY;Augsberg Arpt;48,425;10,932;1516;METAR, TAF;;;;;;;;;
Germany;EDMO;BY;Oberpfaffenhofe Arpt;48,081;11,283;1926;METAR, TAF;;;;;;;;;
Germany;EDNN;;Norvenich (GER-;50,83;6,67;443;;;;;;;;;;
Germany;EDNY;BW;Friedrichshafen Arpt;47,671;9,511;1348;METAR, TAF;;;;;;;;;
Germany;EDOP;BW;Parchim Arpt;53,427;11,783;144;METAR, TAF;;;;;;;;;
Germany;EDQD;BY;Bayreuth Arpt;49,984;11,639;1594;METAR, TAF;;;;;;;;;
Germany;EDQM;BY;Hof/Plauen Arpt;50,289;11,86;1896;METAR, TAF;;;;;;;;;
Germany;EDRZ;RP;Zweibrücken Arpt;49,209;7,401;1125;METAR, TAF;;;;;;;;;
Germany;EDSB;BW;Baden Arpt;48,779;8,081;400;METAR, TAF;;;;;;;;;
Germany;EDTD;BW;Donaueschingen Arpt;47,973;8,522;2231;METAR, TAF;;;;;;;;;
Germany;EDTL;BW;Lahr/Black Forest Arpt;48,369;7,828;499;METAR, TAF;;;;;;;;;
Germany;EDTY;BW;Schwäbisch Hall Arpt;49,118;9,784;1306;METAR, TAF;;;;;;;;;
Germany;EDTZ;BW;Konstanz Arpt;47,681;9,141;1316;;;;;;;;;;
Germany;EDVE;NI;Braunschweig Arpt;52,319;10,558;272;METAR, TAF;;;;;;;;;
Germany;EDVK;HE;Kassel/Calden Arpt;51,421;9,388;860;METAR, TAF;;;;;;;;;
Germany;EDWD;HB;Lemwerder Arpt;53,145;8,624;98;;;;;;;;;;
Germany;EDWE;NI;Emden Arpt;53,388;7,229;0;METAR, TAF;;;;;;;;;
Germany;EDXW;SH;Westerland/Sylt Arpt;54,913;8,341;26;METAR, TAF;;;;;;;;;
Germany;EDZE;NI;Essen/Mulheim Arpt;51,405;6,944;417;;;;;;;;;;
Germany;ETAB;RP;Bitburg (AFB);49,943;6,556;1227;;;;;;;;;;
Germany;ETAD;RP;Spangdahlem(AFB);49,979;6,698;1198;METAR, TAF;;;;;;;;;
Germany;ETAR;RP;Ramstein (AFB);49,437;7,6;758;METAR, TAF;;;;;;;;;
Germany;ETAS;RP;Sembach (USAFB);49,508;7,865;1027;;;;;;;;;;
Germany;ETBA;RP;Aachen/Merzbruck;50,824;6,187;627;;;;;;;;;;
Germany;ETEB;BY;Katterbach Arpt(MIL);49,308;10,639;1529;METAR, TAF;;;;;;;;;
Germany;ETEH;RP;Bad Kreuznach(AAF);49,853;7,891;338;;;;;;;;;;
Germany;ETEU;BY;Giebelstadt(AFB);49,648;9,966;981;;;;;;;;;;
Germany;ETGB;NI;Bergen (MIL);52,815;9,925;226;;;;;;;;;;
Germany;ETGG;SH;Gluecksburg/Meierwik;54,827;9,506;108;METAR, TAF;;;;;;;;;
Germany;ETGI;RO;Idar-Oberstein(MIL);49,693;7,326;1220;;;;;;;;;;
Germany;ETGK;BY;Kuemmersbruck;49,428;11,902;1371;;;;;;;;;;
Germany;ETGM;NI;Meppen(MIL);52,716;7,317;66;;;;;;;;;;
Germany;ETGQ;NI;Rotenburg Arpt;53,13;9,351;98;METAR, TAF;;;;;;;;;
Germany;ETGW;BR;Wittstock;53,2;12,517;233;;;;;;;;;;
Germany;ETGY;NT;Kalkar (MIL);51,733;6,267;98;METAR, TAF;;;;;;;;;
Germany;ETGZ;BW;Messstetten;48,187;8,995;3009;;;;;;;;;;
Germany;ETHA;BY;Altenstadt(AB);47,834;10,867;2421;METAR, TAF;;;;;;;;;
Germany;ETHB;NI;Bückeburg(AAF);52,279;9,082;226;METAR, TAF;;;;;;;;;
Germany;ETHC;NI;Celle Arpt(AAF);52,591;10,022;115;METAR, TAF;;;;;;;;;
Germany;ETHE;NT;Rheine/Bentlage(MIL);52,293;7,387;125;METAR, TAF;;;;;;;;;
Germany;ETHF;HE;Fritzlar Arpt(AAF);51,114;9,286;561;METAR, TAF;;;;;;;;;
Germany;ETHI;SH;Itzehoe (AAF);53,995;9,574;72;;;;;;;;;;
Germany;ETHL;BW;Laupheim Arpt(AAF);48,218;9,91;1759;METAR, TAF;;;;;;;;;
Germany;ETHM;RP;Mendig (AAF);50,366;7,315;568;;;;;;;;;;
Germany;ETHN;BW;Niederstetten Arpt;49,398;9,958;1529;METAR, TAF;;;;;;;;;
Germany;ETHR;BY;Roth (AAF);49,216;11,1;1253;METAR, TAF;;;;;;;;;
Germany;ETHS;NI;Fassberg Arpt(AFB);52,918;10,184;233;METAR, TAF;;;;;;;;;
Germany;ETHT;BR;Cottbus;51,769;14,293;210;;;;;;;;;;
Germany;ETIC;BY;Grafenwohr(AFB);49,696;11,941;1358;METAR, TAF;;;;;;;;;
Germany;ETID;HE;Hanau (AFB);50,169;8,962;367;;;;;;;;;;
Germany;ETIE;BW;Heidelberg(AAF);49,393;8,652;361;;;;;;;;;;
Germany;ETIH;BY;Hohenfels (AAF);49,216;11,839;1430;METAR, TAF;;;;;;;;;
Germany;ETIK;BY;Illesheim Arpt(AAF);49,472;10,39;1070;METAR, TAF;;;;;;;;;
Germany;ETIN;BY;Kitzingen (AFB);49,743;10,201;659;;;;;;;;;;
Germany;ETME;SH;Eggebek (NAVY);54,625;9,346;72;;;;;;;;;;
Germany;ETMK;SH;Kiel/Holtenau(NAVY);54,376;10,143;79;;;;;;;;;;
Germany;ETML;SH;Marienleuchte(MIL);54,494;11,241;30;;;;;;;;;;
Germany;ETMN;NI;Nordholz Arpt(NAVY);53,765;8,658;75;METAR, TAF;;;;;;;;;
Germany;ETND;NI;Diepholz Arpt(AFB);52,588;8,342;121;METAR, TAF;;;;;;;;;
Germany;ETNG;NT;Geilenkirchen(NATO);50,964;6,032;249;METAR, TAF;;;;;;;;;
Germany;ETNH;SH;Hohn (AFB);54,312;9,538;20;METAR, TAF;;;;;;;;;
Germany;ETNJ;NI;Jever (AFB);53,533;7,887;23;METAR, TAF;;;;;;;;;
Germany;ETNL;MV;Laage Arpt;53,916;12,279;131;METAR, TAF;;;;;;;;;
Germany;ETNN;NT;Noervenich (AFB);50,829;6,66;354;METAR, TAF;;;;;;;;;
Germany;ETNP;NT;Hopsten (AFB);52,339;7,541;128;;;;;;;;;;
Germany;ETNR;BB;Preschen;51,667;14,633;315;;;;;;;;;;
Germany;ETNS;SH;Schleswig(NAVY);54,457;9,52;72;METAR, TAF;;;;;;;;;
Germany;ETNT;NI;Wittmundhaven Arpt;53,548;7,667;16;METAR, TAF;;;;;;;;;
Germany;ETNU;MV;Trollenhagen;53,602;13,306;230;METAR, TAF;;;;;;;;;
Germany;ETNW;NI;Wunstorf (AFB);52,457;9,427;187;METAR, TAF;;;;;;;;;
Germany;ETOR;BW;Coleman(AFB);49,564;8,463;302;METAR, TAF;;;;;;;;;
Germany;ETOU;HE;Wiesbaden (AAF);50,048;8,329;463;METAR, TAF;;;;;;;;;
Germany;ETSA;BY;Landsberg Arpt(AFB);48,071;10,906;2031;METAR, TAF;;;;;;;;;
Germany;ETSB;RP;Buechel Arpt;50,175;7,06;1565;METAR, TAF;;;;;;;;;
Germany;ETSE;BY;Erding (AFB);48,321;11,949;1506;METAR, TAF;;;;;;;;;
Germany;ETSF;BY;Fürstenfeldbruck;48,206;11,267;1703;;;;;;;;;;
Germany;ETSH;BR;Holzdorf Arpt(MIL);51,768;13,168;259;METAR, TAF;;;;;;;;;
Germany;ETSI;BY;Ingolstadt-Manching Arpt;48,716;11,534;1201;METAR, TAF;;;;;;;;;
Germany;ETSL;BY;Lechfeld (AFB);48,185;10,861;1798;METAR, TAF;;;;;;;;;
Germany;ETSM;BY;Memmingen (AFB);47,989;10,239;2051;;;;;;;;;;
Germany;ETSN;BY;Nueburg/Donau Arpt;48,71;11,21;1240;METAR, TAF;;;;;;;;;
Germany;ETSP;RP;Pferdsfeld (AFB);49,856;7,606;1280;;;;;;;;;;
Germany;ETUL;NT;Weeze Aprt;51,602;6,143;92;;;;;;;;;;
Germany;ETUN;NI;Nordhorn Range;52,456;7,178;82;;;;;;;;;;
Germany;ETUO;NT;Gutersloh (AFB);51,923;8,306;220;METAR, TAF;;;;;;;;;
Germany;ETUR;NT;Bruggen (AFB);51,2;6,132;230;;;;;;;;;;
Germany;ETWM;NI;Meppen(MIL);52,725;7,33;59;;;;;;;;;;
Greece;EQYG;M;Souda Bay(NAS);35,53;24,15;466;;;;;;;;;;
Greece;LGAD;J;Andravida Arpt;37,923;21,287;26;METAR, TAF;;;;;;;;;
Greece;LGAL;A;Alexandroupolis/Dimokritos Arpt;40,856;25,945;16;METAR, TAF;;;;;;;;;
Greece;LGAT;I;Athens/Hellenkion;37,886;23,736;75;;;;;;;;;;
Greece;LGAV;I;Athens/Venizelos Intl;37,936;23,945;272;METAR, TAF;;;;;;;;;
Greece;LGBL;E;Nea Anchialos Arpt(MIL);39,22;22,794;43;METAR, TAF;;;;;;;;;
Greece;LGEL;I;Elefsis(AB);38,064;23,556;69;METAR, TAF;;;;;;;;;
Greece;LGHI;K;Chios Isl Arpt;38,343;26,141;20;METAR, TAF;;;;;;;;;
Greece;LGIO;D;Ioannina Arpt;39,696;20,823;1562;METAR, TAF;;;;;;;;;
Greece;LGIR;M;Iraklion Intl;35,337;25,173;121;METAR, TAF;;;;;;;;;
Greece;LGKC;J;Kythira Arpt;36,274;23,017;1027;METAR, TAF;;;;;;;;;
Greece;LGKF;F;Cephalonia Arpt;38,12;20,5;46;METAR, TAF;;;;;;;;;
Greece;LGKL;J;Kalamata Arpt;37,068;22,026;13;METAR, TAF;;;;;;;;;
Greece;LGKO;K;Kos Arpt;36,801;27,091;427;METAR, TAF;;;;;;;;;
Greece;LGKP;M;Karpathos Isl Arpt;35,421;27,146;66;METAR, TAF;;;;;;;;;
Greece;LGKR;L;Corfu/Kapodistinas Arpt;39,61;19,913;7;METAR, TAF;;;;;;;;;
Greece;LGKV;A;Kavala Intl;40,915;24,622;16;METAR, TAF;;;;;;;;;
Greece;LGKZ;C;Kozani/Filippos Arpt;40,288;21,842;2018;;;;;;;;;;
Greece;LGLM;K;Limnos Island Arpt;39,917;25,236;13;METAR, TAF;;;;;;;;;
Greece;LGLR;E;Larissa Arpt;39,65;22,465;226;;;;;;;;;;
Greece;LGMK;K;Mykonos Arpt;37,435;25,348;413;METAR, TAF;;;;;;;;;
Greece;LGMT;K;Mitilini Arpt;39,054;26,604;13;METAR, TAF;;;;;;;;;
Greece;LGNX;K;Naxos Arpt;37,081;25,369;10;;;;;;;;;;
Greece;LGPA;K;Paros/Kratikos Arpt;37,022;25,114;138;;;;;;;;;;
Greece;LGPZ;G;Preveza/Aktion Arpt;38,921;20,761;10;METAR, TAF;;;;;;;;;
Greece;LGRD;K;Rhodes/Marits;36,38;28,12;203;;;;;;;;;;
Greece;LGRP;K;Rhodes/Diagoras Arpt;36,405;28,086;10;METAR, TAF;;;;;;;;;
Greece;LGRX;J;Araxos Arpt;38,151;21,426;52;METAR, TAF;;;;;;;;;
Greece;LGSA;M;Souda Bay/Chania Intl;35,54;24,141;400;METAR, TAF;;;;;;;;;
Greece;LGSK;K;Skiathos Isl Arpt;39,177;23,504;43;METAR, TAF;;;;;;;;;
Greece;LGSM;K;Samos Arpt;37,69;26,912;16;METAR, TAF;;;;;;;;;
Greece;LGSO;K;Syros Island Arpt;37,422;24,95;233;;;;;;;;;;
Greece;LGSR;K;Santorini Isl Aprt;36,399;25,479;102;METAR, TAF;;;;;;;;;
Greece;LGST;K;Sitia Arpt;35,216;26,101;92;;;;;;;;;;
Greece;LGSY;H;Skiros Arpt;38,968;24,487;39;METAR, TAF;;;;;;;;;
Greece;LGTG;H;Tanagra (AFB);38,34;23,563;466;;;;;;;;;;
Greece;LGTL;K;Kasteli Arpt(AFB);35,192;25,327;1102;;;;;;;;;;
Greece;LGTP;J;Tripolis Arpt;37,531;22,404;2113;;;;;;;;;;
Greece;LGTS;A;Thessaloniki Intl;40,52;22,971;13;METAR, TAF;;;;;;;;;
Greece;LGTT;I;Tatoi/Dekelia(AFB);38,109;23,784;801;;;;;;;;;;
Greece;LGZA;J;Zakinthos/Salomos Arpt;37,751;20,884;10;METAR, TAF;;;;;;;;;
Greenland;BGAA;;Aasiaat Arpt;68,721;-52,784;89;METAR, TAF;;;;;;;;;
Greenland;BGAM;KJ;Tasiilaq;65,612;-37,618;59;METAR, TAF;;;;;;;;;
Greenland;BGAS;KJ;Angisoq;59,988;-45,173;98;;;;;;;;;;
Greenland;BGAT;SM;Aputiteeq;67,783;-32,285;30;;;;;;;;;;
Greenland;BGBW;KJ;Narssarssuaq Arpt;61,164;-45,42;161;METAR, TAF;;;;;;;;;
Greenland;BGCO;SM;Constable Pynt/Inaat Arpt;70,741;-22,642;171;METAR, TAF;;;;;;;;;
Greenland;BGDB;;Daneborg;74,299;-20,22;23;;;;;;;;;;
Greenland;BGDH;;Danmarkshavn;76,767;-18,667;39;METAR;;;;;;;;;
Greenland;BGEM;AV;Egedesminde;68,72;-52,794;3;METAR;;;;;;;;;
Greenland;BGFH;SM;Frederikshaab;62,013;-49,669;157;;;;;;;;;;
Greenland;BGGD;;Groennedal;61,222;-48,111;95;;;;;;;;;;
Greenland;BGGH;SM;Godthab/Nuuk Arpt;64,191;-51,677;249;METAR, TAF;;;;;;;;;
Greenland;BGHB;;Holsteinsborg;66,92;-53,67;30;;;;;;;;;;
Greenland;BGJH;KJ;Julianehaab;60,716;-46,029;46;;;;;;;;;;
Greenland;BGJN;AV;Ilulissat Arpt;69,24;-51,064;72;METAR, TAF;;;;;;;;;
Greenland;BGKK;SM;Kulusuk Arpt;65,575;-37,133;121;METAR, TAF;;;;;;;;;
Greenland;BGKT;;Uunarted;70,42;-21,97;135;;;;;;;;;;
Greenland;BGMQ;QQ;Maniitsoq Arpt;65,412;-52,934;69;METAR, TAF;;;;;;;;;
Greenland;BGPC;SM;Prins Christian;60,055;-43,165;246;;;;;;;;;;
Greenland;BGPT;SM;Paamiut Arpt;62,013;-49,669;157;METAR, TAF;;;;;;;;;
Greenland;BGQQ;AV;Qaanaaq Arpt;77,486;-69,375;56;METAR, TAF;;;;;;;;;
Greenland;BGSC;SM;Scoresbysund;70,488;-21,972;233;METAR;;;;;;;;;
Greenland;BGSF;QQ;Stroemfjord Arpt;67,013;-50,718;246;METAR, TAF;;;;;;;;;
Greenland;BGSS;QQ;Sisimiut Arpt;66,951;-53,723;112;METAR, TAF;;;;;;;;;
Greenland;BGTL;AV;Thule(AB);76,527;-68,758;259;METAR, TAF;;;;;;;;;
Greenland;BGUK;AV;Upernavik Arpt;72,798;-56,129;39;METAR, TAF;;;;;;;;;
Greenland;BGUQ;AV;Uummanaq Arpt;70,733;-52,695;367;METAR, TAF;;;;;;;;;
Hungary;LHBC;BE;Békéscsaba Arpt;46,678;21,161;266;;;;;;;;;;
Hungary;LHBM;;Budapest Met Ce;47,52;19,03;423;;;;;;;;;;
Hungary;LHBP;BU;Budapest/Liszt Intl;47,437;19,256;463;METAR, TAF;;;;;;;;;
Hungary;LHBS;BU;Budaörs;47,451;18,981;433;;;;;;;;;;
Hungary;LHDC;HL;Debrecen Arpt;47,489;21,615;344;METAR, TAF;;;;;;;;;
Hungary;LHKE;BK;Kecskemét Arpt(AB);46,917;19,749;371;METAR, TAF;;;;;;;;;
Hungary;LHKV;SO;Kaposvar Arpt(AB);46,393;17,914;472;;;;;;;;;;
Hungary;LHMC;BZ;Miskolc;48,138;20,791;377;;;;;;;;;;
Hungary;LHNY;SZ;Nyiregyhaza/Napkur;47,985;21,692;325;;;;;;;;;;
Hungary;LHPA;VE;Pápa Arpt;47,362;17,494;469;METAR, TAF;;;;;;;;;
Hungary;LHPP;BA;Pécs/Pogány Intl;45,991;18,241;633;METAR, TAF;;;;;;;;;
Hungary;LHPR;GS;Győr-Pér Intl;47,627;17,808;417;METAR, TAF;;;;;;;;;
Hungary;LHSA;VE;Azentkilyszabadja;47,078;17,968;922;;;;;;;;;;
Hungary;LHSK;SO;Siofok;46,917;18,05;354;;;;;;;;;;
Hungary;LHSM;ZA;Sármellék/Balaton Arpt;46,689;17,161;390;METAR, TAF;;;;;;;;;
Hungary;LHSN;JN;Szolnok(AB);47,123;20,235;292;METAR, TAF;;;;;;;;;
