Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
Hungary;LHSY;VA;Szombathely;47,278;16,628;722;;;;;;;;;;
Hungary;LHTA;SO;Taszár;46,393;17,917;502;;;;;;;;;;
Hungary;LHTL;PE;Tököl;47,346;18,981;328;;;;;;;;;;
Hungary;LHUD;CS;Szeged Arpt;46,256;20,09;249;METAR;;;;;;;;;
Iceland;BIAR;NE;Akureyri Arpt;65,655;-18,069;3;METAR, TAF;;;;;;;;;
Iceland;BIBD;VF;Bildudalur Arpt;65,645;-23,543;33;METAR, TAF;;;;;;;;;
Iceland;BIEG;E;Egilsstaðir Arpt;65,275;-14,409;66;METAR, TAF;;;;;;;;;
Iceland;BIGJ;;Gjögur Arpt;65,994;-21,329;105;METAR, TAF;;;;;;;;;
Iceland;BIGR;NE;Grímsey Arpt;66,548;-18,02;115;METAR, TAF;;;;;;;;;
Iceland;BIHN;E;Höfn/Hornafjörður Arpt;64,301;-15,227;26;METAR, TAF;;;;;;;;;
Iceland;BIHU;HO;Huasij Arpt;65,952;-17,426;49;METAR, TAF;;;;;;;;;
Iceland;BIIS;VF;Ísafjörður Arpt;66,056;-23,143;10;METAR, TAF;;;;;;;;;
Iceland;BIKF;SP;Keflavik Intl;63,987;-22,614;161;METAR, TAF;;;;;;;;;
Iceland;BIRG;;Raufarhofn;66,45;-15,95;33;;;;;;;;;;
Iceland;BIRK;HO;Reykjavik Arpt;64,129;-21,941;39;METAR, TAF;;;;;;;;;
Iceland;BIST;VL;Stykkisholmur;65,074;-22,734;43;;;;;;;;;;
Iceland;BITN;NE;Þórshöfn Arpt;66,218;-15,336;66;METAR, TAF;;;;;;;;;
Iceland;BIVM;S;Vestmannaeyjar Arpt;63,424;-20,278;305;METAR, TAF;;;;;;;;;
Iceland;BIVO;E;Vopnafjörður Arpt;65,72;-14,85;10;METAR, TAF;;;;;;;;;
Ireland;EICK;M;Cork Arpt;51,848;-8,479;518;METAR, TAF;;;;;;;;;
Ireland;EICM;;Galway Arpt;53,3;-8,942;82;;;;;;;;;;
Ireland;EIDB;L;Dublin Weather Centre;53,433;-6,25;213;;;;;;;;;;
Ireland;EIDL;DL;Donegal Arpt;55,044;-8,341;7;METAR, TAF;;;;;;;;;
Ireland;EIDW;L;Dublin Arpt;53,422;-6,298;246;METAR, TAF;;;;;;;;;
Ireland;EIKN;C;Knock/Ireland West Arpt;53,913;-8,811;659;METAR, TAF;;;;;;;;;
Ireland;EIKY;KY;Kerry Arpt;52,18;-9,538;75;METAR, TAF;;;;;;;;;
Ireland;EIME;L;Casement Arpt;53,306;-6,442;295;METAR, TAF;;;;;;;;;
Ireland;EINN;M;Shannon Arpt;52,702;-8,925;66;METAR, TAF;;;;;;;;;
Ireland;EISG;SO;Sligo Arpt;54,28;-8,599;3;METAR, TAF;;;;;;;;;
Ireland;EIWF;WD;Waterford Arpt;52,187;-7,087;85;METAR, TAF;;;;;;;;;
Italy;EQYS;;Signoella (NAS);37,4;14,92;82;METAR, TAF;;;;;;;;;
Italy;LIBA;PU;Amendola(AFB);41,538;15,714;180;METAR, TAF;;;;;;;;;
Italy;LIBC;CI;Crotone Arpt;38,997;17,079;518;METAR, TAF;;;;;;;;;
Italy;LIBD;PU;Bari/Palese Arpt;41,138;16,765;138;METAR, TAF;;;;;;;;;
Italy;LIBE;PU;Monte Sant Angelo;41,708;15,948;2743;;;;;;;;;;
Italy;LIBF;PU;Foggia/Lisa Arpt;41,433;15,535;266;METAR, TAF;;;;;;;;;
Italy;LIBG;PU;Grottaglie Arpt;40,517;17,403;210;METAR, TAF;;;;;;;;;
Italy;LIBH;PU;Marina di Ginos;40,424;16,887;13;;;;;;;;;;
Italy;LIBN;PU;Lecce(AFB);40,238;18,138;151;METAR, TAF;;;;;;;;;
Italy;LIBP;AB;Pescara/Abruzzo Arpt;42,432;14,181;33;METAR, TAF;;;;;;;;;
Italy;LIBQ;CI;Scuro Mountain;39,331;16,396;5446;;;;;;;;;;
Italy;LIBR;PU;Brindisi/Casale Arpt;40,658;17,951;16;METAR, TAF;;;;;;;;;
Italy;LIBS;CB;Campobasso;41,564;14,655;2546;;;;;;;;;;
Italy;LIBT;CB;Termoli;42,004;14,996;62;;;;;;;;;;
Italy;LIBU;PZ;Latronico;40,087;16,014;2848;;;;;;;;;;
Italy;LIBV;PU;Gioia Del Colle(MIL);40,766;16,935;1129;METAR, TAF;;;;;;;;;
Italy;LIBW;CI;Bonifati;39,585;15,891;1598;;;;;;;;;;
Italy;LIBY;PU;Santa Maria di Leuca;39,811;18,342;344;;;;;;;;;;
Italy;LIBZ;PZ;Potenza;40,633;15,8;2582;;;;;;;;;;
Italy;LICA;CA;Lamezia Terme Arpt;38,908;16,242;23;METAR, TAF;;;;;;;;;
Italy;LICB;RG;Comiso Arpt;36,994;14,606;696;METAR, TAF;;;;;;;;;
Italy;LICC;CT;Catania/Fontanarossa Arpt;37,467;15,064;20;METAR, TAF;;;;;;;;;
Italy;LICD;AG;Lampedusa Island Arpt;35,498;12,618;66;METAR, TAF;;;;;;;;;
Italy;LICE;EN;Enna;37,568;14,28;3045;;;;;;;;;;
Italy;LICF;ME;Messina;38,2;15,549;217;;;;;;;;;;
Italy;LICG;TP;Pantelleria Arpt;36,814;11,971;630;METAR, TAF;;;;;;;;;
Italy;LICJ;PA;Palermo Arpt;38,176;13,091;66;METAR, TAF;;;;;;;;;
Italy;LICL;CL;Gela;37,076;14,225;194;;;;;;;;;;
Italy;LICM;CS;Calopezzati;39,55;16,8;587;;;;;;;;;;
Italy;LICO;PU;Cozzo Spadaro;36,686;15,131;148;;;;;;;;;;
Italy;LICP;PA;Palmero/Boccadifal;38,111;13,313;344;;;;;;;;;;
Italy;LICR;RE;Reggio Calabria Arpt;38,072;15,654;52;METAR, TAF;;;;;;;;;
Italy;LICT;TP;Trapani/Birgi Arpt;37,911;12,488;13;METAR, TAF;;;;;;;;;
Italy;LICU;PA;Ustica;38,707;13,177;784;;;;;;;;;;
Italy;LICZ;CT;Sigonella(MIL);37,406;14,919;72;METAR, TAF;;;;;;;;;
Italy;LIEA;SS;Alghero/Fertilia Arpt;40,631;8,289;72;METAR, TAF;;;;;;;;;
Italy;LIEB;OG;Cape Bellavista;39,931;9,713;413;;;;;;;;;;
Italy;LIEC;CA;Cape Carbonara;39,104;9,514;295;;;;;;;;;;
Italy;LIED;CA;Decimomannu(AFB);39,354;8,973;85;METAR, TAF;;;;;;;;;
Italy;LIEE;CA;Cagliari/Elmas Arpt;39,243;9,06;3;METAR, TAF;;;;;;;;;
Italy;LIEF;VS;Capo Frasca;39,74;8,46;295;;;;;;;;;;
Italy;LIEG;OT;Guardiavecchia;41,217;9,4;292;;;;;;;;;;
Italy;LIEH;SS;Capo Caccia;40,561;8,163;410;;;;;;;;;;
Italy;LIEL;CA;Capo S Lorenzo;39,498;9,629;26;;;;;;;;;;
Italy;LIEN;NU;Fonni;40,117;9,25;3310;;;;;;;;;;
Italy;LIEO;OT;Olbia/Costa Smeralda Arpt;40,899;9,518;26;METAR, TAF;;;;;;;;;
Italy;LIEP;OG;Perdasdefogu;39,675;9,443;1975;;;;;;;;;;
Italy;LIMA;TO;Torino/Aeritalia Arpt;45,086;7,603;935;;;;;;;;;;
Italy;LIMC;MI;Milan/Malpensa Arpt;45,631;8,728;725;METAR, TAF;;;;;;;;;
Italy;LIME;BG;Bergamo/Orio Seno Arpt;45,674;9,704;784;METAR, TAF;;;;;;;;;
Italy;LIMF;TO;Torino/Caselle Arpt;45,203;7,649;968;METAR, TAF;;;;;;;;;
Italy;LIMG;SV;Albenga;44,046;8,126;135;METAR, TAF;;;;;;;;;
Italy;LIMH;AO;Pian Rosà(MTN);45,935;7,707;11394;;;;;;;;;;
Italy;LIMJ;GE;Genoa/Colombo Arpt;44,413;8,838;10;METAR, TAF;;;;;;;;;
Italy;LIMK;TO;Torino/Bric Della Cr;45,033;7,731;2274;;;;;;;;;;
Italy;LIML;MI;Milan/Linate Arpt;45,461;9,263;358;METAR, TAF;;;;;;;;;
Italy;LIMN;NO;Cameri(AFB);45,53;8,669;551;METAR, TAF;;;;;;;;;
Italy;LIMO;CO;Bisbino Mountai;45,87;9,067;3858;;;;;;;;;;
Italy;LIMP;PR;Parma Arpt;44,825;10,296;135;METAR, TAF;;;;;;;;;
Italy;LIMS;PC;Piacenza (IT-AFB);44,913;9,723;433;METAR, TAF;;;;;;;;;
Italy;LIMT;MS;Passo della Cisa;44,472;9,929;3386;;;;;;;;;;
Italy;LIMU;SV;Cape Mele(MET);43,958;8,17;705;;;;;;;;;;
Italy;LIMV;GE;Passo de Giovi;44,552;8,938;1555;;;;;;;;;;
Italy;LIMW;AO;Aosta Rgnl;45,735;7,351;1818;METAR, TAF;;;;;;;;;
Italy;LIMY;GE;Monte Malanotte;44,258;7,794;5715;;;;;;;;;;
Italy;LIMZ;CN;Cuneo/Levaldigi Arpt;44,547;7,623;1237;METAR, TAF;;;;;;;;;
Italy;LIPA;PN;Aviano(AFB);46,03;12,599;371;METAR, TAF;;;;;;;;;
Italy;LIPB;BO;Bolzano/Dolomiti Arpt;46,46;11,326;784;METAR, TAF;;;;;;;;;
Italy;LIPC;RV;Cervia(AFB);44,224;12,307;33;METAR, TAF;;;;;;;;;
Italy;LIPD;UD;Udine/Campoformido;46,038;13,188;295;METAR;;;;;;;;;
Italy;LIPE;BO;Bologna/Marconi Arpt;44,531;11,297;121;METAR, TAF;;;;;;;;;
Italy;LIPF;FE;Ferrara Arpt;44,814;11,61;16;METAR, TAF;;;;;;;;;
Italy;LIPH;TV;Treviso Arpt;45,648;12,194;33;METAR, TAF;;;;;;;;;
Italy;LIPI;UD;Rivolto(AFB);45,979;13,049;161;METAR, TAF;;;;;;;;;
Italy;LIPK;FC;Forli/Ridolfi Arpt;44,196;12,07;79;METAR, TAF;;;;;;;;;
Italy;LIPL;BS;Ghedi(AFB);45,432;10,268;315;METAR, TAF;;;;;;;;;
Italy;LIPO;BS;Brescia Arpt;45,429;10,331;341;METAR, TAF;;;;;;;;;
Italy;LIPP;;Dova Area Contr;45,4;11,87;46;;;;;;;;;;
Italy;LIPQ;CU;Trieste Airport;45,828;13,472;20;METAR, TAF;;;;;;;;;
Italy;LIPR;RN;Rimini/Miramare Arpt;44,02;12,612;33;METAR, TAF;;;;;;;;;
Italy;LIPS;TV;Istrana(AFB);45,689;12,101;138;METAR, TAF;;;;;;;;;
Italy;LIPT;VI;Vicenza(CIV/IT-;45,573;11,53;115;METAR, TAF;;;;;;;;;
Italy;LIPU;PD;Pavdova Arpt;45,396;11,848;20;;;;;;;;;;
Italy;LIPX;TO;Verona Arpt;45,387;10,872;220;METAR, TAF;;;;;;;;;
Italy;LIPY;AN;Falconara/Ancona Arpt;43,617;13,36;36;METAR, TAF;;;;;;;;;
Italy;LIPZ;VE;Venice/Polo Arpt;45,505;12,352;10;METAR, TAF;;;;;;;;;
Italy;LIQB;AR;Arezzo;43,455;11,848;814;;;;;;;;;;
Italy;LIQC;NA;Capri Island;40,558;14,201;505;;;;;;;;;;
Italy;LIQD;;Porretta Pass;44,03;10,93;3058;;;;;;;;;;
Italy;LIQI;;Gran Sasso Moun;42,45;13,7;7014;;;;;;;;;;
Italy;LIQJ;RM;Civitavecchia;42,033;11,833;16;;;;;;;;;;
Italy;LIQK;SA;Capo Palinuro;40,025;15,281;541;;;;;;;;;;
Italy;LIQN;RI;Rieti Arpt;42,427;12,85;1270;;;;;;;;;;
Italy;LIQO;GR;Mount Argentario;42,387;11,17;2057;;;;;;;;;;
Italy;LIQP;SP;Isola di Palmaria;44,067;9,816;1631;;;;;;;;;;
Italy;LIQR;SI;Radicofani;42,896;11,768;2569;;;;;;;;;;
Italy;LIQV;PI;Volterra;43,402;10,86;1759;;;;;;;;;;
Italy;LIQW;SP;Sarzana/Luni(AB);44,088;9,987;20;METAR, TAF;;;;;;;;;
Italy;LIQZ;SP;Ponza Isl;40,912;12,957;614;;;;;;;;;;
Italy;LIRA;RM;Ciampino Arpt;41,808;12,585;331;METAR, TAF;;;;;;;;;
Italy;LIRB;RM;Vigna Di Valle;42,08;12,211;843;;;;;;;;;;
Italy;LIRE;RM;Pratica di Mare(AFB);41,656;12,449;52;METAR, TAF;;;;;;;;;
Italy;LIRF;RM;Rome/Fiumicino;41,8;12,239;7;METAR, TAF;;;;;;;;;
Italy;LIRG;RM;Guidonia(AFB);41,996;12,735;269;METAR, TAF;;;;;;;;;
Italy;LIRH;FR;Frosinone(AFB);41,646;13,3;600;METAR, TAF;;;;;;;;;
Italy;LIRI;SA;Pontecagnano Arpt;40,62;14,911;102;;;;;;;;;;
Italy;LIRJ;EL;Elba Arpt;42,762;10,239;13;;;;;;;;;;
Italy;LIRK;RI;Monte Terminillo;42,466;12,979;5646;;;;;;;;;;
Italy;LIRL;LT;Latina Arpt(AFB);41,545;12,91;75;METAR, TAF;;;;;;;;;
Italy;LIRM;CE;Grazzanise(AFB);41,061;14,082;20;METAR, TAF;;;;;;;;;
Italy;LIRN;NA;Naples Intl;40,885;14,292;249;METAR, TAF;;;;;;;;;
Italy;LIRP;PI;Pisa/Galilei Arpt;43,684;10,393;3;METAR, TAF;;;;;;;;;
Italy;LIRQ;FI;Florence/Peretola Arpt;43,81;11,205;108;METAR, TAF;;;;;;;;;
Italy;LIRS;GR;Grosseto(AFB);42,76;11,072;10;METAR, TAF;;;;;;;;;
Italy;LIRT;AV;Trevico;41,047;15,233;3471;;;;;;;;;;
Italy;LIRU;RM;Rome/Urbe(AFB);41,953;12,5;52;METAR, TAF;;;;;;;;;
Italy;LIRV;VT;Viterbo(AFB);42,43;12,064;965;METAR, TAF;;;;;;;;;
Italy;LIRX;LI;Monte Calamita;42,731;10,396;1302;;;;;;;;;;
Italy;LIRY;;UNK;-99,99;-99,99;32805;;;;;;;;;;
Italy;LIRZ;PG;Perugia/Egidio Arpt;43,097;12,51;676;METAR, TAF;;;;;;;;;
Italy;LIVC;MO;Monte Cimone;44,194;10,7;7018;;;;;;;;;;
Italy;LIVD;BZ;Dobbiaco;46,729;12,228;4006;;;;;;;;;;
Italy;LIVE;BZ;Resia Pass;46,833;10,5;5525;;;;;;;;;;
Italy;LIVF;PU;Frontone;43,517;12,728;1801;;;;;;;;;;
Italy;LIVM;RA;Punta Marina;44,441;12,296;20;;;;;;;;;;
Italy;LIVO;UD;Tarvisio;46,506;13,586;2566;;;;;;;;;;
Italy;LIVP;TN;Monte Paganella;46,143;11,038;6886;;;;;;;;;;
Italy;LIVR;TN;Rolle Pass;46,298;11,787;6552;;;;;;;;;;
Italy;LIVT;TS;Trieste;45,677;13,754;66;;;;;;;;;;
Italy;LIYW;PN;Aviano (USAF);46,03;12,599;371;METAR, TAF;;;;;;;;;
Latvia;EVGA;RG;Lielvarde Arpt;56,778;24,854;200;METAR, TAF;;;;;;;;;
Latvia;EVLA;LP;Liepaja Intl;56,517;21,097;16;METAR, TAF;;;;;;;;;
Latvia;EVRA;RG;Riga Intl;56,924;23,968;23;METAR, TAF;;;;;;;;;
Latvia;EVVA;VS;Ventpils Arpt;57,361;21,545;3;METAR, TAF;;;;;;;;;
Lithuania;EYKA;KI;Kaunas Arpt;54,962;24,069;223;METAR, TAF;;;;;;;;;
Lithuania;EYPA;KL;Palanga Intl;55,973;21,092;49;METAR, TAF;;;;;;;;;
Lithuania;EYSA;SA;Šiauliai Intl;55,894;23,395;443;METAR, TAF;;;;;;;;;
Lithuania;EYVI;VL;Vilnius Intl;54,634;25,286;591;METAR, TAF;;;;;;;;;
Luxembourg;ELLX;LL;Luxembourg/Findel Arpt;49,626;6,204;1227;METAR, TAF;;;;;;;;;
Malta;LMML;LU;Malta Intl;35,858;14,477;256;METAR, TAF;;;;;;;;;
Moldova;LUBL;RI;Bălți Intl Arpt;47,838;27,782;741;METAR, TAF;;;;;;;;;
Moldova;LUBM;FR;Marculesti Intl;47,863;28,213;312;METAR, TAF;;;;;;;;;
Moldova;LUCH;CA;Cahul Intl;45,844;28,264;653;METAR, TAF;;;;;;;;;
Moldova;LUKK;CU;Chişinău Arpt;46,928;28,931;335;METAR, TAF;;;;;;;;;
Netherlands;EHAK;;A12-CPP Sea;55,399;3,81;108;;;;;;;;;;
Netherlands;EHAM;NH;Amsterdam/Schiphol Arpt;52,315;4,79;-7;METAR, TAF;;;;;;;;;
Netherlands;EHBK;LI;Maastricht/Aachen Arpt;50,905;5,762;367;METAR, TAF;;;;;;;;;
Netherlands;EHDB;UT;De Bilt;52,099;5,18;7;METAR;;;;;;;;;
Netherlands;EHDL;GE;Deelen(AB);52,061;5,887;161;METAR, TAF;;;;;;;;;
Netherlands;EHDV;;D15-FA-1 Sea;54,326;2,936;118;;;;;;;;;;
Netherlands;EHEH;NB;Eindhoven Arpt;51,45;5,377;66;METAR, TAF;;;;;;;;;
Netherlands;EHFD;;F3-FB-1 Sea;54,854;4,696;79;;;;;;;;;;
Netherlands;EHFS;ZE;Vlissingen;51,441;3,596;3;;;;;;;;;;
Netherlands;EHFZ;;F16-A Sea;54,117;4,012;92;;;;;;;;;;
Netherlands;EHGG;DR;Groningen Arpt;53,12;6,579;7;METAR, TAF;;;;;;;;;
Netherlands;EHGR;NB;Gilze-Rijen(AB);51,565;4,935;39;METAR, TAF;;;;;;;;;
Netherlands;EHHW;;Buitengaats;54,037;6,042;33;;;;;;;;;;
Netherlands;EHJA;;J6-A Sea;53,824;2,945;112;;;;;;;;;;
Netherlands;EHJR;;K14-A Sea;53,218;3,22;102;;;;;;;;;;
Netherlands;EHKD;NH;Den Helder Arpt;52,927;4,781;3;METAR, TAF;;;;;;;;;
Netherlands;EHKV;;K14-FA-1C Sea;53,269;3,628;92;;;;;;;;;;
Netherlands;EHLE;FL;Lelystad Arpt;52,456;5,522;-10;METAR, TAF;;;;;;;;;
Netherlands;EHLW;FR;Leeuwarden Arpt(AB);53,223;5,752;3;METAR, TAF;;;;;;;;;
Netherlands;EHMA;;AWG-1 Sea;53,492;5,942;89;;;;;;;;;;
Netherlands;EHMG;;L9-FF-1 Sea;53,614;4,96;98;;;;;;;;;;
Netherlands;EHPG;;P11-B Sea;52,36;3,342;79;;;;;;;;;;
Netherlands;EHQE;;Hoorn-A Sea;52,918;4,15;135;;;;;;;;;;
Netherlands;EHRD;ZH;Rotterdam/The Hague Arpt;51,954;4,444;-13;METAR, TAF;;;;;;;;;
Netherlands;EHSA;;Euro Platform;51,998;3,275;59;;;;;;;;;;
Netherlands;EHSB;UT;Soesterberg(AB);52,127;5,276;43;METAR, TAF;;;;;;;;;
Netherlands;EHSC;;Goeree Le Sea;51,926;3,67;62;;;;;;;;;;
Netherlands;EHTW;OV;Twente(AB);52,273;6,891;102;METAR, TAF;;;;;;;;;
Netherlands;EHVB;ZH;Valkenburg (NAVY);52,166;4,418;0;METAR, TAF;;;;;;;;;
Netherlands;EHVK;NB;Volkel Arpt(AFB);51,658;5,707;66;METAR, TAF;;;;;;;;;
Netherlands;EHVL;FR;Vlieland Island;53,297;5,086;7;;;;;;;;;;
Netherlands;EHWO;NB;Woensdrecht(AB);51,448;4,342;49;METAR, TAF;;;;;;;;;
Norway;ENAL;MR;Vigra/Alesund Arpt;62,562;6,115;69;METAR, TAF;;;;;;;;;
Norway;ENAN;NO;Andøya Arpt;69,307;16,131;43;METAR, TAF;;;;;;;;;
Norway;ENAT;FI;Alta Arpt;69,978;23,358;10;METAR, TAF;;;;;;;;;
Norway;ENBL;SO;Bringeland Arpt;61,391;5,76;1027;METAR, TAF;;;;;;;;;
Norway;ENBM;HO;Voss-Bomden;60,639;6,502;423;;;;;;;;;;
Norway;ENBN;NO;Bronnoysund/Bronnoy Arpt;65,458;12,216;10;METAR, TAF;;;;;;;;;
Norway;ENBO;NO;Bodø Arpt;67,267;14,359;43;METAR, TAF;;;;;;;;;
Norway;ENBR;HO;Bergen/Flesland Arpt;60,29;5,222;161;METAR, TAF;;;;;;;;;
Norway;ENBS;FI;Båtsfjord Arpt;70,601;29,698;472;METAR, TAF;;;;;;;;;
Norway;ENBV;FI;Berlevåg Arpt;70,871;29,032;43;METAR, TAF;;;;;;;;;
Norway;ENCN;VA;Kristiansand Arpt;58,2;8,077;56;METAR, TAF;;;;;;;;;
Norway;ENDI;BU;Dagali Arpt;60,416;8,504;2602;;;;;;;;;;
Norway;ENDR;;Draugen;64,349;7,78;33;;;;;;;;;;
Norway;ENDU;TR;Bardufoss Arpt;69,058;18,544;213;METAR, TAF;;;;;;;;;
Norway;ENEK;;Ekofisk;56,542;3,224;161;METAR, TAF;;;;;;;;;
Norway;ENEV;TR;Evenes Arpt;68,491;16,683;85;METAR, TAF;;;;;;;;;
Norway;ENFB;;Statford B;61,206;1,829;33;;;;;;;;;;
Norway;ENFG;OP;Fagernes Arpt;61,013;9,293;2690;METAR, TAF;;;;;;;;;
Norway;ENFL;SO;Florø Arpt;61,582;5,02;3;METAR, TAF;;;;;;;;;
Norway;ENFR;;Frigg;59,933;2;157;;;;;;;;;;
Norway;ENGC;;Gullfax;61,033;2,033;33;METAR, TAF;;;;;;;;;
Norway;ENGK;AA;Gullknapp Arpt;58,516;8,703;397;METAR, TAF;;;;;;;;;
Norway;ENGM;AK;Oslo/Gardermoen Arpt;60,201;11,08;669;METAR, TAF;;;;;;;;;
Norway;ENHD;RO;Haugesund Arpt;59,341;5,22;72;METAR, TAF;;;;;;;;;
Norway;ENHE;;Heidrun;65,325;2,327;33;METAR, TAF;;;;;;;;;
Norway;ENHF;FI;Hammerfest Arpt;70,681;23,677;259;METAR, TAF;;;;;;;;;
Norway;ENHK;FI;Hasvik Arpt;70,487;22,14;20;METAR, TAF;;;;;;;;;
Norway;ENHM;;Heimdal;59,57;2,22;33;METAR, TAF;;;;;;;;;
Norway;ENJS;;Johan Sverdrup;58,835;2,545;0;METAR, TAF;;;;;;;;;
Norway;ENKA;FI;Kautokeino Arpt;69,04;23,034;1194;;;;;;;;;;
Norway;ENKB;MR;Kristiansund Arpt;63,109;7,816;203;METAR, TAF;;;;;;;;;
Norway;ENKR;FI;Kirkenes/Høybuktmoen Arpt;69,725;29,898;282;METAR, TAF;;;;;;;;;
Norway;ENLA;;Ula;57,111;2,846;33;;;;;;;;;;
Norway;ENLE;;Ekofisk;56,535;3,205;33;METAR, TAF;;;;;;;;;
Norway;ENLI;VA;Lista/Farsund(AFB);58,099;6,626;16;METAR, TAF;;;;;;;;;
Norway;ENLK;NO;Leknes Arpt;68,155;13,615;85;;;;;;;;;;
Norway;ENMH;FI;Mehamn Arpt;71,029;27,829;33;METAR, TAF;;;;;;;;;
Norway;ENML;MR;Molde/Aro Arpt;62,744;7,262;10;METAR, TAF;;;;;;;;;
Norway;ENMS;NO;Mosjøen Arpt;65,784;13,218;144;METAR, TAF;;;;;;;;;
Norway;ENNA;FI;Banak Arpt;70,059;24,971;39;METAR, TAF;;;;;;;;;
Norway;ENNE;;Norne;66,03;8,08;33;METAR, TAF;;;;;;;;;
Norway;ENNK;VE;Narvik Arpt;68,437;17,386;95;;;;;;;;;;
Norway;ENNM;TR;Namsos Arpt;64,471;11,57;7;METAR, TAF;;;;;;;;;
Norway;ENNO;TE;Notodden Arpt;59,565;9,217;62;METAR, TAF;;;;;;;;;
Norway;ENOA;;Oseberg;60,492;2,827;16;METAR, TAF;;;;;;;;;
Norway;ENOL;TR;Ørland Arpt;63,703;9,609;30;METAR, TAF;;;;;;;;;
Norway;ENOV;MR;Ørsta-Volda Arpt;62,18;6,078;236;METAR, TAF;;;;;;;;;
Norway;ENQA;;Troll-A;60,645;3,725;295;;;;;;;;;;
Norway;ENQC;;Troll-C;60,886;3,61;66;;;;;;;;;;
Norway;ENQR;;Snorre B;61,53;2,22;33;;;;;;;;;;
Norway;ENRA;NO;Moirana Arpt;66,364;14,302;217;METAR, TAF;;;;;;;;;
Norway;ENRM;TR;Rørvik Arpt;64,835;11,141;13;METAR, TAF;;;;;;;;;
Norway;ENRO;TR;Røros Arpt;62,578;11,342;2047;METAR, TAF;;;;;;;;;
Norway;ENRS;VE;Røst Arpt(AFB);67,527;12,104;13;METAR, TAF;;;;;;;;;
Norway;ENRY;OS;Moss/Rygge Arpt;59,381;10,783;148;METAR, TAF;;;;;;;;;
Norway;ENSD;SO;Sandane Arpt;61,829;6,104;200;METAR, TAF;;;;;;;;;
Norway;ENSE;;Snorre A;61,45;2,15;33;;;;;;;;;;
Norway;ENSF;;Statfjord A;61,25;1,85;49;;;;;;;;;;
Norway;ENSG;SO;Sogndal/Haukasen Arpt;61,158;7,141;1617;METAR, TAF;;;;;;;;;
Norway;ENSH;NO;Svolvaer/Helle Arpt;68,245;14,669;30;METAR, TAF;;;;;;;;;
Norway;ENSK;NO;Storkmarknes Arpt;68,58;15,029;10;METAR, TAF;;;;;;;;;
Norway;ENSL;;Sleipner A Plat;58,367;1,907;164;METAR, TAF;;;;;;;;;
Norway;ENSN;TE;Skien Arpt;59,185;9,567;443;METAR, TAF;;;;;;;;;
Norway;ENSO;HO;Sorstokken/Stord Arpt;59,792;5,341;157;METAR, TAF;;;;;;;;;
Norway;ENSR;TR;Sørkjosen Arpt;69,789;20,955;16;METAR, TAF;;;;;;;;;
Norway;ENSS;FI;Vardoe Arpt;70,355;31,044;43;METAR, TAF;;;;;;;;;
Norway;ENST;NO;Sandnessjøen Arpt;65,961;12,472;56;METAR, TAF;;;;;;;;;
